"id","customer_number","first_name","last_name","date_of_birth","gender","email","phone","address_line1","address_line2","city","state","postal_code","country","is_active","created_at","updated_at"
"f951fbe3-4114-4b28-abcd-2a2e1da08fa7","CUST-000037","Michael","Morris","1964-01-14","Male","briggsmario@example.com","7390343711865","602 Shelby Meadows Apt. 151","Apt. 313","Port Robertaton","New Mexico","79993","IN","True","2025-11-18 11:48:57.725322+00:00","2025-11-18 11:48:57.725588+00:00"
"f93ec770-6284-4510-8a9e-641b2eb7388f","CUST-000014","James","Newman","1952-07-29","Male","katelyn13@example.net","4863406989360","54801 Robert Valleys","Apt. 001","West Amberfort","Ohio","75127","IN","True","2025-11-18 11:48:57.670114+00:00","2025-11-18 11:48:57.670234+00:00"
"f7d4b2a4-f3a5-42c8-ae2d-ce4e551931d5","CUST-000018","Monica","Benson","1977-09-04","Female","ethangriffith@example.org","2957351180734","1226 Baker Isle Apt. 954","Apt. 928","Barreraport","West Virginia","78000","IN","True","2025-11-18 11:48:57.680512+00:00","2025-11-18 11:48:57.680662+00:00"
"f0dd7ffc-79ef-4f6d-b7a0-81fda5ada0cd","CUST-000016","Alexandra","Ellis","1948-06-17","Other","selliott@example.com","4184667776034","361 Harper Underpass","Suite 557","West Danielland","Maine","81657","IN","True","2025-11-18 11:48:57.674932+00:00","2025-11-18 11:48:57.675014+00:00"
"ed171997-fa63-46b2-9091-3861c9186124","CUST-000010","Daniel","Andersen","1996-02-27","Female","hornkaren@example.com","9479859182577","6973 Maldonado Plaza Apt. 220","Suite 300","Port Laura","Colorado","84209","IN","True","2025-11-18 11:48:57.658473+00:00","2025-11-18 11:48:57.658675+00:00"
"e0d3f786-02dc-4ee2-aa35-d48112164c11","CUST-000021","Robert","Bean","1960-06-18","Other","xcarson@example.org","5645830692315","0746 Moreno Springs Suite 843","Suite 801","North Sydney","Georgia","61139","IN","True","2025-11-18 11:48:57.687241+00:00","2025-11-18 11:48:57.687325+00:00"
"cf93deb2-cdee-456d-b7eb-7fc7c15ca24a","CUST-000039","Anthony","Vega","1971-04-02","Male","lucaswilliams@example.net","0492853944283","55289 Jonathan Mill","Suite 268","East Willieland","South Carolina","39867","IN","True","2025-11-18 11:48:57.734212+00:00","2025-11-18 11:48:57.734479+00:00"
"c8c6be18-8b23-4155-a863-841b22cc9c55","CUST-000041","Jackie","Clark","1966-01-19","Other","garciajason@example.com","6073385223202","158 Kelly Mountain Suite 494","Apt. 347","Raymondshire","Tennessee","81350","IN","True","2025-11-18 11:48:57.740977+00:00","2025-11-18 11:48:57.741112+00:00"
"c848cd1b-fb9d-45c6-90fe-34b8ac755f98","CUST-000004","John","Garcia","1955-06-05","Male","dennisyoung@example.com","1110177199931","95284 Lopez Plains","Apt. 638","Hoovershire","Ohio","97676","IN","True","2025-11-18 11:48:57.642932+00:00","2025-11-18 11:48:57.643140+00:00"
"c25218ff-0fa4-4d58-ab47-3925ae4fa802","CUST-000007","John","Davis","1970-11-25","Female","karen61@example.net","1177552900874","422 Phillips Turnpike Apt. 959","Suite 857","New Kennethhaven","Texas","35546","IN","True","2025-11-18 11:48:57.649925+00:00","2025-11-18 11:48:57.650074+00:00"
"c0ed53c5-e580-4634-8704-c85ef18494f0","CUST-000023","Abigail","Ellis","1953-05-03","Male","johnsonjacqueline@example.net","7879391622469","1760 Katelyn Plain","Suite 273","Stevenview","Illinois","34390","IN","True","2025-11-18 11:48:57.693534+00:00","2025-11-18 11:48:57.693698+00:00"
